Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion
1,1,2,6,3,3,0.653614458
1,1,1,8,1,1,0.575663027
1,1,4,6,1,1,0.73553719
1,1,3,8,1,1,0.624641834
1,1,1,4,1,1,0.476190476
1,1,3,3,1,1,0.493710692
1,1,4,2,1,3,0.477744807
1,1,1,3,1,1,0.667655786
1,1,2,3,2,2,0.636085627
1,1,4,8,2,4,0.712903226
1,1,2,8,4,5,0.684039088
1,1,1,1,0,5,0.435185185
1,1,4,3,2,3,0.704545455
1,1,1,8,4,4,0.621538462
1,1,3,8,3,5,0.292063492
1,1,1,4,3,5,0.359872611
1,1,4,8,1,4,0.632398754
1,1,3,6,3,5,0.600574713
1,1,4,2,2,5,0.394936709
1,1,1,2,1,3,0.431952663
1,1,3,2,4,5,0.227146814
1,1,1,4,2,3,0.419753086
1,1,4,8,3,5,0.746564885
1,1,3,2,3,4,0.46179402
1,1,2,3,4,4,0.437106918
1,1,3,2,2,3,0.424501425
1,1,4,3,1,1,0.384615385
1,1,2,4,3,2,0.626838235
1,1,3,4,2,2,0.623115578
1,1,4,3,3,3,0.774193548
1,1,1,3,4,4,0.619672131
1,1,2,1,0,5,0.536423841
1,1,4,6,2,3,0.430463576
1,1,3,4,3,3,0.510242086
1,1,4,2,3,5,0.623376623
1,1,2,2,1,3,0.699088146
1,1,1,4,4,5,0.611842105
1,1,2,6,4,4,0.660660661
1,1,1,8,2,2,0.2
1,1,4,6,4,5,0.726993865
1,1,1,3,2,2,0.468852459
1,1,2,8,1,1,0.421364985
1,1,3,6,1,2,0.181229773
1,1,2,3,3,3,0.493630573
1,1,3,3,2,2,0.535928144
1,1,4,4,3,4,0.519097222
1,1,3,6,4,5,0.638949672
1,1,4,8,4,5,0.645695364
1,1,2,3,1,1,0.707641196
1,1,1,6,2,4,0.6875
1,1,3,3,4,4,0.481848185
1,1,1,2,2,3,0.325878594
1,1,4,3,4,4,0.690184049
1,1,3,8,2,3,0.680525164
1,1,4,4,2,2,0.629746835
1,1,2,2,4,5,0.66557377
1,1,3,6,2,2,0.603498542
1,1,2,4,2,2,0.29082774
1,1,3,1,0,5,0.370919881
1,1,4,2,4,5,0.481595092
1,1,2,8,2,3,0.82300885
1,1,4,6,3,4,0.676282051
1,1,3,3,3,3,0.517915309
1,1,1,2,3,5,0.787375415
1,1,4,4,1,3,0.511904762
1,1,2,2,2,4,0.427692308
1,1,3,8,4,3,0.762057878
1,1,1,6,4,4,0.597484277
1,1,3,4,4,4,0.65448505
1,1,4,1,0,5,0.574750831
1,1,2,4,4,5,0.473015873
1,1,4,4,4,4,0.698675497
1,1,2,4,1,1,0.645695364
1,1,1,6,1,2,0.701986755
1,1,2,6,2,2,0.441640379
1,1,3,4,1,2,0.363934426
1,1,1,2,4,4,0.487096774
1,1,3,2,1,3,0.388704319
1,1,2,6,1,1,0.333333333
1,1,1,8,3,4,0.374233129
1,1,2,8,3,4,0.689552239
1,1,1,3,3,3,0.734627832
1,1,2,2,3,5,0.692307692
1,1,1,6,3,3,0.625714286
2,1,4,4,2,2,0.247933884
2,1,3,3,2,4,0.289036545
2,1,1,2,3,5,0.225913621
2,1,3,4,4,5,0.396135266
2,1,4,6,3,4,0.514204545
2,1,1,6,2,3,0.495268139
2,1,2,2,4,5,0.405172414
2,1,3,6,2,2,0.239010989
2,1,4,8,4,3,0.238562092
2,1,1,2,2,4,0.301939058
2,1,2,2,3,4,0.409230769
2,1,4,4,1,2,0.320121951
2,1,1,3,3,2,0.108504399
2,1,4,2,4,3,0.226537217
2,1,2,4,2,2,0.594565217
2,1,3,3,4,3,0.166163142
2,1,1,6,4,3,0.112462006
2,1,2,6,2,2,0.42192691
2,1,1,8,3,3,0.098461538
2,1,2,3,1,2,0.366972477
2,1,1,6,3,3,0.196078431
2,1,2,8,2,3,0.180693069
2,1,3,8,2,3,0.203296703
2,1,2,6,1,2,0.254032258
2,1,1,6,1,3,0.231907895
2,1,2,2,2,3,0.281690141
2,1,4,4,3,3,0.229813665
2,1,2,4,1,1,0.37628866
2,1,3,1,0,5,0.303834808
2,1,2,3,3,3,0.305164319
2,1,3,3,3,3,0.111445783
2,1,4,3,4,3,0.264653641
2,1,3,6,4,5,0.239740821
2,1,2,8,3,3,0.311258278
2,1,3,2,1,2,0.173267327
2,1,4,1,0,5,0.395445135
2,1,3,6,1,1,0.118483412
2,1,4,4,4,3,0.23255814
2,1,3,4,1,1,0.172757475
2,1,2,4,4,5,0.276008493
2,1,3,8,4,3,0.111111111
2,1,1,2,4,3,0.430501931
2,1,1,3,4,3,0.281045752
2,1,4,8,2,2,0.409326425
2,1,2,6,3,4,0.297029703
2,1,4,6,1,1,0.382051282
2,1,3,2,4,4,0.256267409
2,1,1,3,2,1,0.431677019
2,1,3,2,3,5,0.415902141
2,1,1,8,1,2,0.246411483
2,1,2,3,4,3,0.31372549
2,1,4,8,3,3,0.526639344
2,1,1,4,2,1,0.422222222
2,1,4,6,2,2,0.487730061
2,1,2,4,3,1,0.467692308
2,1,3,8,3,3,0.361471861
2,1,1,4,4,3,0.307042254
2,1,4,3,3,2,0.162251656
2,1,3,4,3,2,0.147590361
2,1,1,1,0,4,0.36119403
2,1,3,8,1,2,0.340425532
2,1,1,8,2,3,0.346268657
2,1,2,6,4,4,0.296178344
2,1,1,8,4,3,0.255813953
2,1,3,3,1,1,0.132022472
2,1,4,3,1,1,0.404867257
2,1,2,2,1,2,0.265780731
2,1,1,4,3,2,0.325513196
2,1,3,4,2,1,0.308539945
2,1,4,2,1,2,0.198019802
2,1,2,8,4,4,0.554817276
2,1,4,2,3,3,0.340175953
2,1,3,6,3,2,0.126146789
2,1,1,2,1,2,0.315614618
2,1,3,2,2,3,0.065753425
2,1,2,1,0,3,0.333948339
2,1,4,8,1,1,0.526490066
2,1,1,3,1,1,0.109634551
2,1,2,8,1,1,0.439655172
2,1,4,3,2,2,0.357142857
2,1,1,4,1,1,0.190625
2,1,4,6,4,4,0.463576159
2,1,2,3,2,2,0.297546012
2,1,4,2,2,2,0.24702381
6,1,1,2,4,5,0.703703704
6,1,4,4,4,4,0.59912854
6,1,2,6,1,1,0.707635009
