Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion,Playback
1,1,2,6,3,3,0.653614458,Adaptive
1,1,1,8,1,1,0.575663027,Adaptive
1,1,4,6,1,1,0.73553719,Adaptive
1,1,3,8,1,1,0.624641834,Adaptive
1,1,1,4,1,1,0.476190476,Adaptive
1,1,3,3,1,1,0.493710692,Naïve
1,1,4,2,1,3,0.477744807,Naïve
1,1,1,3,1,1,0.667655786,Naïve
1,1,2,3,2,2,0.636085627,Naïve
1,1,4,8,2,4,0.712903226,Adaptive
1,1,2,8,4,5,0.684039088,Adaptive
1,1,1,1,0,5,0.435185185,Naïve
1,1,4,3,2,3,0.704545455,Naïve
1,1,1,8,4,4,0.621538462,Adaptive
1,1,3,8,3,5,0.292063492,Adaptive
1,1,1,4,3,5,0.359872611,Adaptive
1,1,4,8,1,4,0.632398754,Adaptive
1,1,3,6,3,5,0.600574713,Adaptive
1,1,4,2,2,5,0.394936709,Naïve
1,1,1,2,1,3,0.431952663,Naïve
1,1,3,2,4,5,0.227146814,Naïve
1,1,1,4,2,3,0.419753086,Adaptive
1,1,4,8,3,5,0.746564885,Adaptive
1,1,3,2,3,4,0.46179402,Naïve
1,1,2,3,4,4,0.437106918,Naïve
1,1,3,2,2,3,0.424501425,Naïve
1,1,4,3,1,1,0.384615385,Naïve
1,1,2,4,3,2,0.626838235,Adaptive
1,1,3,4,2,2,0.623115578,Adaptive
1,1,4,3,3,3,0.774193548,Naïve
1,1,1,3,4,4,0.619672131,Naïve
1,1,2,1,0,5,0.536423841,Naïve
1,1,4,6,2,3,0.430463576,Adaptive
1,1,3,4,3,3,0.510242086,Adaptive
1,1,4,2,3,5,0.623376623,Naïve
1,1,2,2,1,3,0.699088146,Naïve
1,1,1,4,4,5,0.611842105,Adaptive
1,1,2,6,4,4,0.660660661,Adaptive
1,1,1,8,2,2,0.2,Adaptive
1,1,4,6,4,5,0.726993865,Adaptive
1,1,1,3,2,2,0.468852459,Naïve
1,1,2,8,1,1,0.421364985,Adaptive
1,1,3,6,1,2,0.181229773,Adaptive
1,1,2,3,3,3,0.493630573,Naïve
1,1,3,3,2,2,0.535928144,Naïve
1,1,4,4,3,4,0.519097222,Adaptive
1,1,3,6,4,5,0.638949672,Adaptive
1,1,4,8,4,5,0.645695364,Adaptive
1,1,2,3,1,1,0.707641196,Naïve
1,1,1,6,2,4,0.6875,Adaptive
1,1,3,3,4,4,0.481848185,Naïve
1,1,1,2,2,3,0.325878594,Naïve
1,1,4,3,4,4,0.690184049,Naïve
1,1,3,8,2,3,0.680525164,Adaptive
1,1,4,4,2,2,0.629746835,Adaptive
1,1,2,2,4,5,0.66557377,Naïve
1,1,3,6,2,2,0.603498542,Adaptive
1,1,2,4,2,2,0.29082774,Adaptive
1,1,3,1,0,5,0.370919881,Naïve
1,1,4,2,4,5,0.481595092,Naïve
1,1,2,8,2,3,0.82300885,Adaptive
1,1,4,6,3,4,0.676282051,Adaptive
1,1,3,3,3,3,0.517915309,Naïve
1,1,1,2,3,5,0.787375415,Naïve
1,1,4,4,1,3,0.511904762,Adaptive
1,1,2,2,2,4,0.427692308,Naïve
1,1,3,8,4,3,0.762057878,Adaptive
1,1,1,6,4,4,0.597484277,Adaptive
1,1,3,4,4,4,0.65448505,Adaptive
1,1,4,1,0,5,0.574750831,Naïve
1,1,2,4,4,5,0.473015873,Adaptive
1,1,4,4,4,4,0.698675497,Adaptive
1,1,2,4,1,1,0.645695364,Adaptive
1,1,1,6,1,2,0.701986755,Adaptive
1,1,2,6,2,2,0.441640379,Adaptive
1,1,3,4,1,2,0.363934426,Adaptive
1,1,1,2,4,4,0.487096774,Naïve
1,1,3,2,1,3,0.388704319,Naïve
1,1,2,6,1,1,0.333333333,Adaptive
1,1,1,8,3,4,0.374233129,Adaptive
1,1,2,8,3,4,0.689552239,Adaptive
1,1,1,3,3,3,0.734627832,Naïve
1,1,2,2,3,5,0.692307692,Naïve
1,1,1,6,3,3,0.625714286,Adaptive
2,1,4,4,2,2,0.247933884,Adaptive
2,1,3,3,2,4,0.289036545,Naïve
2,1,1,2,3,5,0.225913621,Naïve
2,1,3,4,4,5,0.396135266,Adaptive
2,1,4,6,3,4,0.514204545,Adaptive
2,1,1,6,2,3,0.495268139,Adaptive
2,1,2,2,4,5,0.405172414,Naïve
2,1,3,6,2,2,0.239010989,Adaptive
2,1,4,8,4,3,0.238562092,Adaptive
2,1,1,2,2,4,0.301939058,Naïve
2,1,2,2,3,4,0.409230769,Naïve
2,1,4,4,1,2,0.320121951,Adaptive
2,1,1,3,3,2,0.108504399,Naïve
2,1,4,2,4,3,0.226537217,Naïve
2,1,2,4,2,2,0.594565217,Adaptive
2,1,3,3,4,3,0.166163142,Naïve
2,1,1,6,4,3,0.112462006,Adaptive
2,1,2,6,2,2,0.42192691,Adaptive
2,1,1,8,3,3,0.098461538,Adaptive
2,1,2,3,1,2,0.366972477,Naïve
2,1,1,6,3,3,0.196078431,Adaptive
