DoF,Content,Codec,Rate,DMOS,CILow,CIHigh,HRScore,HRCILow,HRCIHigh
1,1,1,1,3.56,3.12904532826608,3.99095467173392,3.56,3.18168114458516,3.93831885541484
1,1,2,1,2.44,2.06168114458516,2.81831885541484,3.56,3.18168114458516,3.93831885541484
1,1,1,2,4.68,4.27206447553594,5.08793552446406,3.56,3.18168114458516,3.93831885541484
1,1,2,2,2.96,2.55626289456923,3.36373710543077,3.56,3.18168114458516,3.93831885541484
1,1,1,3,4.96,4.49117236933942,5.42882763066058,3.56,3.18168114458516,3.93831885541484
1,1,2,3,4,3.58722028767439,4.41277971232561,3.56,3.18168114458516,3.93831885541484
1,1,1,4,4.96,4.55626289456923,5.36373710543076,3.56,3.18168114458516,3.93831885541484
1,1,2,4,4.8,4.44252228295919,5.15747771704081,3.56,3.18168114458516,3.93831885541484
1,2,1,1,2.72,2.39323416595044,3.04676583404956,4.48,4.23813316085441,4.72186683914559
1,2,2,1,1.52,1.27813316085441,1.76186683914559,4.48,4.23813316085441,4.72186683914559
1,2,1,2,4.04,3.60250542999231,4.47749457000769,4.48,4.23813316085441,4.72186683914559
1,2,2,2,2.04,1.76105537315121,2.31894462684879,4.48,4.23813316085441,4.72186683914559
1,2,1,3,4.48,4.06516152322056,4.89483847677944,4.48,4.23813316085441,4.72186683914559
1,2,2,3,3,2.73355184141844,3.26644815858156,4.48,4.23813316085441,4.72186683914559
1,2,1,4,4.6,4.24252228295919,4.95747771704081,4.48,4.23813316085441,4.72186683914559
1,2,2,4,4,3.58722028767439,4.41277971232561,4.48,4.23813316085441,4.72186683914559
1,3,1,1,3.36,2.87043096379567,3.84956903620433,3.8,3.4047935138876,4.1952064861124
1,3,2,1,2.2,1.8047935138876,2.5952064861124,3.8,3.4047935138876,4.1952064861124
1,3,1,2,4.12,3.73720384252119,4.50279615747881,3.8,3.4047935138876,4.1952064861124
1,3,2,2,2.6,2.1086938712787,3.0913061287213,3.8,3.4047935138876,4.1952064861124
1,3,1,3,5.04,4.65424784373991,5.42575215626009,3.8,3.4047935138876,4.1952064861124
1,3,2,3,3.52,3.04157899420501,3.99842100579499,3.8,3.4047935138876,4.1952064861124
1,3,1,4,4.92,4.42985124892567,5.41014875107433,3.8,3.4047935138876,4.1952064861124
1,3,2,4,4.32,3.87862800201602,4.76137199798398,3.8,3.4047935138876,4.1952064861124
1,4,1,1,2.28,1.97573533550575,2.58426466449425,4.6,4.33355184141844,4.86644815858156
1,4,2,1,1.4,1.13355184141844,1.66644815858156,4.6,4.33355184141844,4.86644815858156
1,4,1,2,3.4,3.06296677620981,3.73703322379019,4.6,4.33355184141844,4.86644815858156
1,4,2,2,1.88,1.55760873855881,2.20239126144119,4.6,4.33355184141844,4.86644815858156
1,4,1,3,4.12,3.75622263135505,4.48377736864495,4.6,4.33355184141844,4.86644815858156
1,4,2,3,2.88,2.63233217260464,3.12766782739536,4.6,4.33355184141844,4.86644815858156
1,4,1,4,4.24,3.91849079564661,4.56150920435339,4.6,4.33355184141844,4.86644815858156
1,4,2,4,4,3.64252228295919,4.35747771704081,4.6,4.33355184141844,4.86644815858156
2,1,1,1,4,3.66296677620981,4.33703322379019,3.32,2.98891738923561,3.65108261076439
2,1,2,1,2.68,2.34891738923561,3.01108261076439,3.32,2.98891738923561,3.65108261076439
2,1,1,2,4.8,4.5616815219728,5.0383184780272,3.32,2.98891738923561,3.65108261076439
2,1,2,2,3.4,3.02318540046462,3.77681459953538,3.32,2.98891738923561,3.65108261076439
2,1,1,3,4.8,4.38722028767439,5.2127797123256,3.32,2.98891738923561,3.65108261076439
2,1,2,3,4.48,4.08264368939907,4.87735631060093,3.32,2.98891738923561,3.65108261076439
2,1,1,4,5.12,4.79760873855881,5.44239126144119,3.32,2.98891738923561,3.65108261076439
2,1,2,4,5,4.66296677620981,5.33703322379019,3.32,2.98891738923561,3.65108261076439
2,2,1,1,2.88,2.51622263135505,3.24377736864495,4.44,4.14618124737657,4.73381875262343
2,2,2,1,1.64,1.32744824622628,1.95255175377372,4.44,4.14618124737657,4.73381875262343
2,2,1,2,4.2,3.84252228295919,4.55747771704081,4.44,4.14618124737657,4.73381875262343
2,2,2,2,2.24,1.89711941914677,2.58288058085323,4.44,4.14618124737657,4.73381875262343
2,2,1,3,4.6,4.2047935138876,4.9952064861124,4.44,4.14618124737657,4.73381875262343
2,2,2,3,3.36,3.02550407621418,3.69449592378582,4.44,4.14618124737657,4.73381875262343
2,2,1,4,4.72,4.33351237661601,5.10648762338399,4.44,4.14618124737657,4.73381875262343
2,2,2,4,4.12,3.77629220303295,4.46370779696705,4.44,4.14618124737657,4.73381875262343
2,3,1,1,3.48,3.06516152322056,3.89483847677944,3.76,3.397004108882,4.122995891118
2,3,2,1,2.24,1.877004108882,2.602995891118,3.76,3.397004108882,4.122995891118
2,3,1,2,4.48,4.14044843565744,4.81955156434256,3.76,3.397004108882,4.122995891118
2,3,2,2,3.04,2.6190456384073,3.4609543615927,3.76,3.397004108882,4.122995891118
2,3,1,3,4.88,4.41360154439359,5.34639845560641,3.76,3.397004108882,4.122995891118
2,3,2,3,3.84,3.41568601320205,4.26431398679795,3.76,3.397004108882,4.122995891118
2,3,1,4,4.76,4.41711941914677,5.10288058085323,3.76,3.397004108882,4.122995891118
2,3,2,4,4.4,4.0047935138876,4.7952064861124,3.76,3.397004108882,4.122995891118
2,4,1,1,2.24,1.96619291462903,2.51380708537097,4.6,4.33355184141844,4.86644815858156
2,4,2,1,1.4,1.13355184141844,1.66644815858156,4.6,4.33355184141844,4.86644815858156
2,4,1,2,3.36,3.07105420137208,3.64894579862792,4.6,4.33355184141844,4.86644815858156
2,4,2,2,2.12,1.73720384252119,2.50279615747881,4.6,4.33355184141844,4.86644815858156
2,4,1,3,4.24,3.99348144946668,4.48651855053332,4.6,4.33355184141844,4.86644815858156
2,4,2,3,2.8,2.4847342871543,3.1152657128457,4.6,4.33355184141844,4.86644815858156
2,4,1,4,4.52,4.20204349258872,4.83795650741128,4.6,4.33355184141844,4.86644815858156
2,4,2,4,4.16,3.82977623013952,4.49022376986048,4.6,4.33355184141844,4.86644815858156
3,1,1,1,3.84615384615385,3.47259074723611,4.21971694507158,3.5,3.1168185233495,3.8831814766505
3,1,2,1,2.5,2.1168185233495,2.8831814766505,3.5,3.1168185233495,3.8831814766505
3,1,1,2,4.80769230769231,4.44607814170722,5.16930647367739,3.5,3.1168185233495,3.8831814766505
3,1,2,2,3.23076923076923,2.86398642489722,3.59755203664124,3.5,3.1168185233495,3.8831814766505
3,1,1,3,5.23076923076923,4.7986406000862,5.66289786145226,3.5,3.1168185233495,3.8831814766505
3,1,2,3,4.38461538461539,4.00439288256862,4.76483788666215,3.5,3.1168185233495,3.8831814766505
3,1,1,4,5.15384615384615,4.71594786012298,5.59174444756932,3.5,3.1168185233495,3.8831814766505
3,1,2,4,4.46153846153846,4.01568805757855,4.90738886549837,3.5,3.1168185233495,3.8831814766505
3,2,1,1,3.19230769230769,2.81307664566957,3.57153873894582,4.42307692307692,4.18970078942569,4.65645305672815
3,2,2,1,1.61538461538462,1.38471281561148,1.84605641515775,4.42307692307692,4.18970078942569,4.65645305672815
3,2,1,2,4.38461538461539,4.04042591981964,4.72880484941113,4.42307692307692,4.18970078942569,4.65645305672815
3,2,2,2,2.34615384615385,2.02419408280316,2.66811360950454,4.42307692307692,4.18970078942569,4.65645305672815
3,2,1,3,4.80769230769231,4.4116272013936,5.20375741399102,4.42307692307692,4.18970078942569,4.65645305672815
3,2,2,3,3.26923076923077,2.89802668505788,3.64043485340366,4.42307692307692,4.18970078942569,4.65645305672815
3,2,1,4,4.88461538461539,4.57538008631755,5.19385068291322,4.42307692307692,4.18970078942569,4.65645305672815
3,2,2,4,4.5,4.0841504990572,4.9158495009428,4.42307692307692,4.18970078942569,4.65645305672815
3,3,1,1,3.5,2.99876243397632,4.00123756602368,3.73076923076923,3.32592946556211,4.13560899597635
3,3,2,1,2.26923076923077,1.86439100402365,2.67407053443789,3.73076923076923,3.32592946556211,4.13560899597635
3,3,1,2,4.42307692307692,3.97807173391307,4.86808211224078,3.73076923076923,3.32592946556211,4.13560899597635
3,3,2,2,3.11538461538462,2.62631236270807,3.60445686806116,3.73076923076923,3.32592946556211,4.13560899597635
3,3,1,3,4.65384615384615,4.18361161188302,5.12408069580929,3.73076923076923,3.32592946556211,4.13560899597635
3,3,2,3,3.80769230769231,3.33639147288166,4.27899314250295,3.73076923076923,3.32592946556211,4.13560899597635
3,3,1,4,5.11538461538461,4.56361602548128,5.66715320528795,3.73076923076923,3.32592946556211,4.13560899597635
3,3,2,4,4.23076923076923,3.81401538044169,4.64752308109677,3.73076923076923,3.32592946556211,4.13560899597635
3,4,1,1,2.26923076923077,1.84858053781978,2.68988100064176,4.5,4.23823721828898,4.76176278171102
3,4,2,1,1.5,1.23823721828898,1.76176278171102,4.5,4.23823721828898,4.76176278171102
3,4,1,2,3.76923076923077,3.35247691890323,4.18598461955831,4.5,4.23823721828898,4.76176278171102
3,4,2,2,2.23076923076923,1.81401538044169,2.64752308109677,4.5,4.23823721828898,4.76176278171102
