DoF,Content,Codec,Rate,DMOS,CILow,CIHigh,HRScore,HRCILow,HRCIHigh
1,1,1,1,3.2,2.84252228295919,3.55747771704081,4.76,4.54419343959289,4.97580656040711
1,1,2,1,1.16,0.96492791852916,1.35507208147084,4.76,4.54419343959289,4.97580656040711
1,1,3,1,1.76,1.51348144946668,2.00651855053332,4.76,4.54419343959289,4.97580656040711
1,1,4,1,1.92,1.65569202192874,2.18430797807126,4.76,4.54419343959289,4.97580656040711
1,1,5,1,2.24,1.96619291462903,2.51380708537097,4.76,4.54419343959289,4.97580656040711
1,1,1,2,3.76,3.43849079564661,4.08150920435339,4.76,4.54419343959289,4.97580656040711
1,1,2,2,1.84,1.55601075778074,2.12398924221926,4.76,4.54419343959289,4.97580656040711
1,1,3,2,1.92,1.71638060311572,2.12361939688428,4.76,4.54419343959289,4.97580656040711
1,1,4,2,3.04,2.76105537315121,3.31894462684879,4.76,4.54419343959289,4.97580656040711
1,1,5,2,3.12,2.82043831818582,3.41956168181418,4.76,4.54419343959289,4.97580656040711
1,1,1,3,4.4,4.0847342871543,4.7152657128457,4.76,4.54419343959289,4.97580656040711
1,1,2,3,2.88,2.66288153352504,3.09711846647496,4.76,4.54419343959289,4.97580656040711
1,1,3,3,3.92,3.54469568549826,4.29530431450174,4.76,4.54419343959289,4.97580656040711
1,1,4,3,3.92,3.60654098233306,4.23345901766694,4.76,4.54419343959289,4.97580656040711
1,1,5,3,3.8,3.53355184141844,4.06644815858156,4.76,4.54419343959289,4.97580656040711
1,1,1,4,4.52,4.18044843565744,4.85955156434256,4.76,4.54419343959289,4.97580656040711
1,1,2,4,3.68,3.3711039480533,3.9888960519467,4.76,4.54419343959289,4.97580656040711
1,1,3,4,4.08,3.74465617644122,4.41534382355878,4.76,4.54419343959289,4.97580656040711
1,1,4,4,3.92,3.68407674334687,4.15592325665313,4.76,4.54419343959289,4.97580656040711
1,1,5,4,4,3.7616815219728,4.2383184780272,4.76,4.54419343959289,4.97580656040711
1,2,1,1,2.88,2.63233217260464,3.12766782739536,4.72,4.49643745096081,4.94356254903919
1,2,2,1,1.04,0.957444057534879,1.12255594246512,4.72,4.49643745096081,4.94356254903919
1,2,3,1,1.04,0.957444057534879,1.12255594246512,4.72,4.49643745096081,4.94356254903919
1,2,4,1,1.08,0.965706473048922,1.19429352695108,4.72,4.49643745096081,4.94356254903919
1,2,5,1,1.64,1.37676863731229,1.90323136268771,4.72,4.49643745096081,4.94356254903919
1,2,1,2,3.76,3.48619291462903,4.03380708537097,4.72,4.49643745096081,4.94356254903919
1,2,2,2,1.76,1.51348144946668,2.00651855053332,4.72,4.49643745096081,4.94356254903919
1,2,3,2,1.76,1.54419343959289,1.97580656040711,4.72,4.49643745096081,4.94356254903919
1,2,4,2,2.04,1.73667009858883,2.34332990141117,4.72,4.49643745096081,4.94356254903919
1,2,5,2,2.28,2.00003917806682,2.55996082193318,4.72,4.49643745096081,4.94356254903919
1,2,1,3,4.44,4.19931013542613,4.68068986457387,4.72,4.49643745096081,4.94356254903919
1,2,2,3,2.8,2.5616815219728,3.0383184780272,4.72,4.49643745096081,4.94356254903919
1,2,3,3,2.52,2.22521632276722,2.81478367723278,4.72,4.49643745096081,4.94356254903919
1,2,4,3,3.28,2.97573533550575,3.58426466449425,4.72,4.49643745096081,4.94356254903919
1,2,5,3,3.56,3.26618124737657,3.85381875262343,4.72,4.49643745096081,4.94356254903919
1,2,1,4,4.64,4.40528351983696,4.87471648016304,4.72,4.49643745096081,4.94356254903919
