Participant;DoF;Contents;Codecs;Bitrates;Scores;Session;ViewOrder
1;1;2;5;3;3;S01;1
1;1;1;7;1;1;S01;2
1;1;4;5;1;1;S01;3
1;1;3;7;1;1;S01;4
1;1;1;3;1;1;S01;5
1;1;3;2;1;1;S01;6
1;1;4;1;1;3;S01;7
1;1;1;2;1;1;S01;8
1;1;2;2;2;2;S01;9
1;1;4;7;2;4;S01;10
1;1;2;7;4;5;S01;11
1;1;1;0;0;5;S01;12
1;1;4;2;2;3;S01;13
1;1;1;7;4;4;S01;14
1;1;3;7;3;5;S01;15
1;1;1;3;3;5;S01;16
1;1;4;7;1;4;S01;17
1;1;3;5;3;5;S01;18
1;1;4;1;2;5;S01;19
1;1;1;1;1;3;S01;20
1;1;3;1;4;5;S01;21
1;1;1;3;2;3;S01;22
1;1;4;7;3;5;S01;23
1;1;3;1;3;4;S01;24
1;1;2;2;4;4;S01;25
1;1;3;1;2;3;S01;26
1;1;4;2;1;1;S01;27
1;1;2;3;3;2;S01;28
1;1;3;3;2;2;S01;29
1;1;4;2;3;3;S01;30
1;1;1;2;4;4;S01;31
1;1;2;0;0;5;S01;32
1;1;4;5;2;3;S01;33
1;1;3;3;3;3;S01;34
1;1;4;1;3;5;S01;35
1;1;2;1;1;3;S01;36
1;1;1;3;4;5;S01;37
1;1;2;5;4;4;S01;38
1;1;1;7;2;2;S01;39
1;1;4;5;4;5;S01;40
1;1;1;2;2;2;S01;41
1;1;2;7;1;1;S01;42
1;1;3;5;1;2;S02;1
1;1;2;2;3;3;S02;2
1;1;3;2;2;2;S02;3
1;1;4;3;3;4;S02;4
1;1;3;5;4;5;S02;5
1;1;4;7;4;5;S02;6
1;1;2;2;1;1;S02;7
1;1;1;5;2;4;S02;8
1;1;3;2;4;4;S02;9
1;1;1;1;2;3;S02;10
1;1;4;2;4;4;S02;11
1;1;3;7;2;3;S02;12
1;1;4;3;2;2;S02;13
1;1;2;1;4;5;S02;14
1;1;3;5;2;2;S02;15
1;1;2;3;2;2;S02;16
1;1;3;0;0;5;S02;17
1;1;4;1;4;5;S02;18
1;1;2;7;2;3;S02;19
1;1;4;5;3;4;S02;20
1;1;3;2;3;3;S02;21
1;1;1;1;3;5;S02;22
1;1;4;3;1;3;S02;23
1;1;2;1;2;4;S02;24
1;1;3;7;4;3;S02;25
1;1;1;5;4;4;S02;26
1;1;3;3;4;4;S02;27
1;1;4;0;0;5;S02;28
1;1;2;3;4;5;S02;29
1;1;4;3;4;4;S02;30
1;1;2;3;1;1;S02;31
1;1;1;5;1;2;S02;32
1;1;2;5;2;2;S02;33
1;1;3;3;1;2;S02;34
1;1;1;1;4;4;S02;35
1;1;3;1;1;3;S02;36
1;1;2;5;1;1;S02;37
1;1;1;7;3;4;S02;38
1;1;2;7;3;4;S02;39
1;1;1;2;3;3;S02;40
1;1;2;1;3;5;S02;41
1;1;1;5;3;3;S02;42
2;1;4;3;2;2;S01;1
2;1;3;2;2;4;S01;2
2;1;1;1;3;5;S01;3
2;1;3;3;4;5;S01;4
2;1;4;5;3;4;S01;5
2;1;1;5;2;3;S01;6
2;1;2;1;4;5;S01;7
2;1;3;5;2;2;S01;8
2;1;4;7;4;3;S01;9
2;1;1;1;2;4;S01;10
2;1;2;1;3;4;S01;11
2;1;4;3;1;2;S01;12
2;1;1;2;3;2;S01;13
2;1;4;1;4;3;S01;14
2;1;2;3;2;2;S01;15
2;1;3;2;4;3;S01;16
2;1;1;5;4;3;S01;17
2;1;2;5;2;2;S01;18
2;1;1;7;3;3;S01;19
2;1;2;2;1;2;S01;20
2;1;1;5;3;3;S01;21
2;1;2;7;2;3;S01;22
2;1;3;7;2;3;S01;23
2;1;2;5;1;2;S01;24
2;1;1;5;1;3;S01;25
2;1;2;1;2;3;S01;26
2;1;4;3;3;3;S01;27
2;1;2;3;1;1;S01;28
2;1;3;0;0;5;S01;29
2;1;2;2;3;3;S01;30
2;1;3;2;3;3;S01;31
2;1;4;2;4;3;S01;32
2;1;3;5;4;5;S01;33
2;1;2;7;3;3;S01;34
2;1;3;1;1;2;S01;35
2;1;4;0;0;5;S01;36
2;1;3;5;1;1;S01;37
2;1;4;3;4;3;S01;38
2;1;3;3;1;1;S01;39
2;1;2;3;4;5;S01;40
2;1;3;7;4;3;S01;41
2;1;1;1;4;3;S01;42
2;1;1;2;4;3;S02;1
2;1;4;7;2;2;S02;2
2;1;2;5;3;4;S02;3
2;1;4;5;1;1;S02;4
2;1;3;1;4;4;S02;5
2;1;1;2;2;1;S02;6
2;1;3;1;3;5;S02;7
2;1;1;7;1;2;S02;8
2;1;2;2;4;3;S02;9
2;1;4;7;3;3;S02;10
2;1;1;3;2;1;S02;11
2;1;4;5;2;2;S02;12
2;1;2;3;3;1;S02;13
2;1;3;7;3;3;S02;14
2;1;1;3;4;3;S02;15
2;1;4;2;3;2;S02;16
2;1;3;3;3;2;S02;17
2;1;1;0;0;4;S02;18
2;1;3;7;1;2;S02;19
2;1;1;7;2;3;S02;20
2;1;2;5;4;4;S02;21
2;1;1;7;4;3;S02;22
2;1;3;2;1;1;S02;23
2;1;4;2;1;1;S02;24
2;1;2;1;1;2;S02;25
2;1;1;3;3;2;S02;26
2;1;3;3;2;1;S02;27
2;1;4;1;1;2;S02;28
2;1;2;7;4;4;S02;29
2;1;4;1;3;3;S02;30
2;1;3;5;3;2;S02;31
2;1;1;1;1;2;S02;32
2;1;3;1;2;3;S02;33
2;1;2;0;0;3;S02;34
2;1;4;7;1;1;S02;35
2;1;1;2;1;1;S02;36
2;1;2;7;1;1;S02;37
2;1;4;2;2;2;S02;38
2;1;1;3;1;1;S02;39
2;1;4;5;4;4;S02;40
2;1;2;2;2;2;S02;41
2;1;4;1;2;2;S02;42
6;1;1;1;4;5;S01;1
6;1;4;3;4;4;S01;2
6;1;2;5;1;1;S01;3
6;1;1;5;4;5;S01;4
6;1;2;2;3;3;S01;5
6;1;4;3;2;2;S01;6
6;1;3;5;1;2;S01;7
6;1;1;5;2;3;S01;8
6;1;4;1;4;3;S01;9
6;1;2;7;2;2;S01;10
6;1;4;2;4;4;S01;11
6;1;1;1;2;4;S01;12
6;1;2;1;2;4;S01;13
6;1;1;1;3;3;S01;14
6;1;3;2;4;3;S01;15
6;1;1;5;1;2;S01;16
6;1;2;1;4;5;S01;17
6;1;1;5;3;4;S01;18
6;1;2;3;4;4;S01;19
6;1;4;3;1;2;S01;20
6;1;3;7;2;3;S01;21
6;1;2;5;2;2;S01;22
6;1;3;3;4;3;S01;23
6;1;4;5;3;4;S01;24
6;1;3;1;1;3;S01;25
6;1;2;3;1;2;S01;26
6;1;3;5;4;3;S01;27
6;1;4;3;3;3;S01;28
6;1;3;0;0;5;S01;29
6;1;4;0;0;5;S01;30
6;1;3;5;2;1;S01;31
6;1;1;2;3;3;S01;32
6;1;3;2;2;1;S01;33
6;1;1;7;3;3;S01;34
6;1;2;2;1;1;S01;35
6;1;3;3;1;1;S01;36
6;1;2;7;3;4;S01;37
6;1;4;7;4;5;S01;38
6;1;2;3;2;2;S01;39
6;1;3;2;3;3;S01;40
6;1;2;1;3;5;S01;41
6;1;3;7;4;5;S01;42
6;1;1;2;2;2;S02;1
6;1;4;5;2;2;S02;2
6;1;1;3;3;5;S02;3
6;1;4;7;2;3;S02;4
6;1;1;2;4;5;S02;5
6;1;4;7;1;2;S02;6
6;1;1;7;1;2;S02;7
6;1;2;7;1;1;S02;8
6;1;4;2;3;3;S02;9
6;1;1;3;1;1;S02;10
6;1;2;5;3;3;S02;11
6;1;1;3;4;4;S02;12
6;1;3;5;3;3;S02;13
6;1;1;2;1;1;S02;14
6;1;4;2;2;2;S02;15
6;1;2;1;1;3;S02;16
6;1;3;1;2;4;S02;17
6;1;4;5;4;4;S02;18
6;1;3;2;1;1;S02;19
6;1;1;7;4;4;S02;20
6;1;4;5;1;2;S02;21
6;1;2;0;0;5;S02;22
6;1;3;1;3;5;S02;23
6;1;4;2;1;1;S02;24
6;1;3;1;4;5;S02;25
6;1;2;2;4;4;S02;26
6;1;3;7;3;4;S02;27
6;1;4;1;2;3;S02;28
6;1;1;7;2;3;S02;29
6;1;3;3;2;2;S02;30
6;1;1;3;2;2;S02;31
6;1;4;1;3;4;S02;32
6;1;2;2;2;2;S02;33
6;1;4;7;3;4;S02;34
6;1;2;5;4;4;S02;35
6;1;1;1;1;3;S02;36
6;1;3;3;3;3;S02;37
6;1;2;7;4;4;S02;38
6;1;4;1;1;2;S02;39
6;1;1;0;0;5;S02;40
6;1;3;7;1;2;S02;41
6;1;2;3;3;3;S02;42
7;1;3;7;1;2;S01;1
7;1;4;1;3;4;S01;2
7;1;2;5;3;2;S01;3
7;1;1;1;1;2;S01;4
7;1;3;1;4;5;S01;5
7;1;2;2;4;3;S01;6
7;1;3;1;2;3;S01;7
7;1;4;7;3;4;S01;8
7;1;2;3;3;2;S01;9
7;1;4;2;2;2;S01;10
7;1;3;7;3;3;S01;11
7;1;4;7;2;3;S01;12
7;1;3;3;3;2;S01;13
7;1;1;2;1;1;S01;14
7;1;4;2;3;3;S01;15
7;1;1;2;2;2;S01;16
7;1;3;1;3;5;S01;17
7;1;1;7;1;2;S01;18
7;1;2;1;1;4;S01;19
7;1;4;5;4;5;S01;20
7;1;2;2;2;2;S01;21
7;1;1;2;4;3;S01;22
7;1;2;7;1;2;S01;23
7;1;1;0;0;5;S01;24
7;1;3;3;2;2;S01;25
7;1;4;5;2;3;S01;26
7;1;1;7;2;3;S01;27
7;1;2;0;0;5;S01;28
7;1;3;2;1;1;S01;29
7;1;4;7;1;2;S01;30
7;1;1;3;1;2;S01;31
7;1;4;1;2;4;S01;32
7;1;1;3;3;4;S01;33
7;1;4;5;1;2;S01;34
7;1;1;7;4;4;S01;35
7;1;3;5;3;3;S01;36
7;1;1;3;4;3;S01;37
7;1;2;7;4;4;S01;38
7;1;4;2;1;1;S01;39
7;1;2;5;4;4;S01;40
7;1;1;3;2;2;S01;41
7;1;4;1;1;3;S01;42
7;1;3;2;2;2;S02;1
7;1;2;3;1;1;S02;2
7;1;3;7;2;3;S02;3
7;1;1;7;3;5;S02;4
7;1;2;5;2;2;S02;5
7;1;4;3;1;2;S02;6
7;1;3;1;1;5;S02;7
7;1;4;1;4;5;S02;8
7;1;2;1;4;5;S02;9
7;1;3;3;4;5;S02;10
7;1;2;2;1;1;S02;11
7;1;3;5;4;4;S02;12
7;1;4;0;0;5;S02;13
7;1;3;3;1;2;S02;14
7;1;2;7;2;2;S02;15
7;1;3;7;4;4;S02;16
7;1;1;5;1;2;S02;17
7;1;4;3;2;2;S02;18
7;1;3;2;4;3;S02;19
7;1;1;5;3;4;S02;20
7;1;2;3;2;2;S02;21
7;1;1;2;3;3;S02;22
7;1;2;1;2;4;S02;23
7;1;1;5;4;4;S02;24
7;1;2;1;3;5;S02;25
7;1;1;1;4;5;S02;26
7;1;3;2;3;3;S02;27
7;1;4;3;3;2;S02;28
7;1;1;1;3;4;S02;29
7;1;4;5;3;3;S02;30
7;1;3;5;2;2;S02;31
7;1;2;7;3;3;S02;32
7;1;4;3;4;5;S02;33
7;1;3;5;1;2;S02;34
7;1;2;2;3;3;S02;35
7;1;1;5;2;3;S02;36
7;1;2;3;4;5;S02;37
7;1;4;7;4;5;S02;38
7;1;3;0;0;5;S02;39
7;1;2;5;1;1;S02;40
7;1;1;1;2;3;S02;41
7;1;4;2;4;4;S02;42
10;1;4;1;4;4;S01;1
10;1;1;5;2;2;S01;2
10;1;3;1;1;4;S01;3
10;1;2;5;2;3;S01;4
10;1;3;5;4;4;S01;5
10;1;4;3;2;1;S01;6
10;1;2;1;3;5;S01;7
10;1;1;5;1;2;S01;8
10;1;3;7;4;3;S01;9
10;1;1;2;3;3;S01;10
10;1;2;1;2;4;S01;11
10;1;3;0;0;5;S01;12
10;1;1;5;3;4;S01;13
10;1;4;3;4;4;S01;14
10;1;2;1;4;5;S01;15
10;1;3;5;2;2;S01;16
10;1;1;5;4;4;S01;17
10;1;3;2;2;2;S01;18
10;1;4;0;0;5;S01;19
10;1;2;7;2;2;S01;20
10;1;3;5;1;3;S01;21
10;1;4;3;1;1;S01;22
10;1;2;2;1;1;S01;23
10;1;3;7;2;2;S01;24
10;1;4;2;4;4;S01;25
10;1;2;3;4;4;S01;26
10;1;3;3;1;2;S01;27
10;1;1;1;3;5;S01;28
10;1;3;3;4;5;S01;29
10;1;1;1;4;5;S01;30
10;1;2;3;1;1;S01;31
10;1;4;3;3;3;S01;32
10;1;1;1;2;4;S01;33
10;1;2;5;1;1;S01;34
10;1;3;2;4;3;S01;35
10;1;2;2;3;3;S01;36
10;1;1;7;3;4;S01;37
10;1;3;2;3;2;S01;38
10;1;4;5;3;3;S01;39
10;1;2;3;2;2;S01;40
10;1;4;7;4;4;S01;41
10;1;2;7;3;4;S01;42
10;1;3;5;3;4;S02;1
10;1;1;7;1;2;S02;2
10;1;4;5;1;1;S02;3
10;1;2;7;4;5;S02;4
10;1;4;2;2;1;S02;5
10;1;2;7;1;1;S02;6
10;1;4;2;3;2;S02;7
10;1;1;0;0;5;S02;8
10;1;4;5;2;2;S02;9
10;1;2;3;3;2;S02;10
10;1;1;3;2;2;S02;11
10;1;4;5;4;5;S02;12
10;1;2;2;2;2;S02;13
10;1;1;7;2;3;S02;14
10;1;3;7;3;4;S02;15
10;1;1;1;1;4;S02;16
10;1;3;7;1;2;S02;17
10;1;4;2;1;1;S02;18
10;1;3;3;3;4;S02;19
10;1;1;3;4;4;S02;20
10;1;4;7;1;3;S02;21
10;1;1;2;2;2;S02;22
10;1;3;1;4;5;S02;23
10;1;1;2;4;3;S02;24
10;1;3;1;2;3;S02;25
10;1;1;7;4;4;S02;26
10;1;3;2;1;1;S02;27
10;1;2;2;4;4;S02;28
10;1;1;2;1;1;S02;29
10;1;2;5;3;3;S02;30
10;1;4;7;3;4;S02;31
10;1;1;3;3;4;S02;32
