DoF,Content,Codec,RatePoint,DMOS,CILow,CIHigh,HRScore,HRCILow,HRCIHigh,Rate
1,1,1,1,3.266666667,2.942421326,3.590912008,4.766666667,4.578467385,4.954865948,7.61
1,1,2,1,1.133333333,0.971210663,1.295456004,4.766666667,4.578467385,4.954865948,7.22
1,1,3,1,1.766666667,1.554452201,1.978881133,4.766666667,4.578467385,4.954865948,7.45
1,1,4,1,1.966666667,1.716979268,2.216354066,4.766666667,4.578467385,4.954865948,7.3
1,1,5,1,2.266666667,2.027804799,2.505528534,4.766666667,4.578467385,4.954865948,7.23
1,1,1,2,3.733333333,3.457132299,4.009534368,4.766666667,4.578467385,4.954865948,13.4
1,1,2,2,1.866666667,1.612210777,2.121122556,4.766666667,4.578467385,4.954865948,10.52
1,1,3,2,1.933333333,1.738852043,2.127814623,4.766666667,4.578467385,4.954865948,13.26
1,1,4,2,3,2.740554304,3.259445696,4.766666667,4.578467385,4.954865948,13
1,1,5,2,3.1,2.834147273,3.365852727,4.766666667,4.578467385,4.954865948,13.26
1,1,1,3,4.4,4.129663774,4.670336226,4.766666667,4.578467385,4.954865948,44.61
1,1,2,3,2.866666667,2.67719432,3.056139013,4.766666667,4.578467385,4.954865948,36.36
1,1,3,3,3.966666667,3.649164168,4.284169165,4.766666667,4.578467385,4.954865948,44.17
1,1,4,3,3.833333333,3.521947025,4.144719641,4.766666667,4.578467385,4.954865948,43.27
1,1,5,3,3.8,3.572126234,4.027873766,4.766666667,4.578467385,4.954865948,44.17
1,1,1,4,4.5,4.193803827,4.806196173,4.766666667,4.578467385,4.954865948,117.77
1,1,2,4,3.666666667,3.383588205,3.949745128,4.766666667,4.578467385,4.954865948,102.32
1,1,3,4,4.133333333,3.827398979,4.439267688,4.766666667,4.578467385,4.954865948,111.88
1,1,4,4,3.833333333,3.537790743,4.128875924,4.766666667,4.578467385,4.954865948,111.88
1,1,5,4,4.066666667,3.827804799,4.305528534,4.766666667,4.578467385,4.954865948,111.88
1,2,1,1,2.866666667,2.63186507,3.101468263,4.733333333,4.538852043,4.927814623,3.32
1,2,2,1,1.033333333,0.965159012,1.101507655,4.733333333,4.538852043,4.927814623,2.55
1,2,3,1,1.066666667,0.971930493,1.16140284,4.733333333,4.538852043,4.927814623,3.16
1,2,4,1,1.066666667,0.971930493,1.16140284,4.733333333,4.538852043,4.927814623,3.19
1,2,5,1,1.666666667,1.419884585,1.913448748,4.733333333,4.538852043,4.927814623,3.19
1,2,1,2,3.733333333,3.457132299,4.009534368,4.733333333,4.538852043,4.927814623,5.36
1,2,2,2,1.733333333,1.515528416,1.951138251,4.733333333,4.538852043,4.927814623,3.46
1,2,3,2,1.766666667,1.554452201,1.978881133,4.733333333,4.538852043,4.927814623,5.26
1,2,4,2,2.066666667,1.790465632,2.342867701,4.733333333,4.538852043,4.927814623,5.2
1,2,5,2,2.233333333,1.979823966,2.4868427,4.733333333,4.538852043,4.927814623,5.26
1,2,1,3,4.466666667,4.253322391,4.680010942,4.733333333,4.538852043,4.927814623,15.9
1,2,2,3,2.733333333,2.515528416,2.951138251,4.733333333,4.538852043,4.927814623,10.52
1,2,3,3,2.566666667,2.294852375,2.838480958,4.733333333,4.538852043,4.927814623,15.74
1,2,4,3,3.3,3.020052719,3.579947281,4.733333333,4.538852043,4.927814623,15.74
1,2,5,3,3.633333333,3.331353488,3.935313178,4.733333333,4.538852043,4.927814623,15.26
1,2,1,4,4.6,4.389682037,4.810317963,4.733333333,4.538852043,4.927814623,53.1
1,2,2,4,3.6,3.348076073,3.851923927,4.733333333,4.538852043,4.927814623,35.5
1,2,3,4,4.266666667,4.072185377,4.461147957,4.733333333,4.538852043,4.927814623,52.04
1,2,4,4,4.333333333,4.086551252,4.580115415,4.733333333,4.538852043,4.927814623,52.57
1,2,5,4,4.2,3.951922466,4.448077534,4.733333333,4.538852043,4.927814623,52.04
