DoF,Content,Codec,RatePoint,DMOS,CILow,CIHigh,HRScore,HRCILow,HRCIHigh,Rate
1,1,1,1,3.25,2.454388424,4.045611576,4.5,3.581306884,5.418693116,13.4
1,1,2,1,1.75,0.226519819,3.273480181,4.5,3.581306884,5.418693116,10.52
1,1,3,1,1,1,1,4.5,3.581306884,5.418693116,13.13
1,1,4,1,1.25,0.454388424,2.045611576,4.5,3.581306884,5.418693116,12.73
1,1,5,1,1.25,0.454388424,2.045611576,4.5,3.581306884,5.418693116,13.26
1,1,6,1,1.25,0.454388424,2.045611576,4.5,3.581306884,5.418693116,13.26
1,1,7,1,1.5,0.581306884,2.418693116,4.5,3.581306884,5.418693116,13.13
1,1,1,2,4.75,3.954388424,5.545611576,4.5,3.581306884,5.418693116,44.61
1,1,2,2,2.5,1.581306884,3.418693116,4.5,3.581306884,5.418693116,36.36
1,1,3,2,1.25,0.454388424,2.045611576,4.5,3.581306884,5.418693116,43.27
1,1,4,2,1.5,0.581306884,2.418693116,4.5,3.581306884,5.418693116,43.27
1,1,5,2,2,0.700771736,3.299228264,4.5,3.581306884,5.418693116,43.27
1,1,6,2,2.5,0.908776847,4.091223153,4.5,3.581306884,5.418693116,43.27
1,1,7,2,2.5,1.581306884,3.418693116,4.5,3.581306884,5.418693116,43.27
1,1,1,3,4.75,3.954388424,5.545611576,4.5,3.581306884,5.418693116,117.77
1,1,2,3,3.5,2.581306884,4.418693116,4.5,3.581306884,5.418693116,102.32
1,1,3,3,3.25,1.247754775,5.252245225,4.5,3.581306884,5.418693116,114.23
1,1,4,3,3.75,2.226519819,5.273480181,4.5,3.581306884,5.418693116,115.41
1,1,5,3,3.5,1.908776847,5.091223153,4.5,3.581306884,5.418693116,116.59
1,1,6,3,3.5,2.581306884,4.418693116,4.5,3.581306884,5.418693116,111.88
1,1,7,3,4,2.700771736,5.299228264,4.5,3.581306884,5.418693116,116.59
1,2,1,1,3.75,2.226519819,5.273480181,4.75,3.954388424,5.545611576,5.36
1,2,2,1,1.5,0.581306884,2.418693116,4.75,3.954388424,5.545611576,3.46
1,2,3,1,1.25,0.454388424,2.045611576,4.75,3.954388424,5.545611576,5.1
1,2,4,1,1.25,0.454388424,2.045611576,4.75,3.954388424,5.545611576,5.15
1,2,5,1,1,1,1,4.75,3.954388424,5.545611576,5.1
1,2,6,1,1,1,1,4.75,3.954388424,5.545611576,5.15
1,2,7,1,1,1,1,4.75,3.954388424,5.545611576,5.31
1,2,1,2,4.25,2.726519819,5.773480181,4.75,3.954388424,5.545611576,15.9
1,2,2,2,2.25,1.454388424,3.045611576,4.75,3.954388424,5.545611576,10.52
1,2,3,2,1.25,0.454388424,2.045611576,4.75,3.954388424,5.545611576,15.42
1,2,4,2,1.75,0.226519819,3.273480181,4.75,3.954388424,5.545611576,15.42
1,2,5,2,2,0.700771736,3.299228264,4.75,3.954388424,5.545611576,15.74
1,2,6,2,2,0.700771736,3.299228264,4.75,3.954388424,5.545611576,15.1
1,2,7,2,2.25,1.454388424,3.045611576,4.75,3.954388424,5.545611576,15.42
1,2,1,3,5,5,5,4.75,3.954388424,5.545611576,53.1
1,2,2,3,3.5,2.581306884,4.418693116,4.75,3.954388424,5.545611576,35.5
1,2,3,3,2.75,0.363165271,5.136834729,4.75,3.954388424,5.545611576,51.51
1,2,4,3,3,1.700771736,4.299228264,4.75,3.954388424,5.545611576,50.44
1,2,5,3,3,1.700771736,4.299228264,4.75,3.954388424,5.545611576,52.57
1,2,6,3,2.75,1.954388424,3.545611576,4.75,3.954388424,5.545611576,51.51
1,2,7,3,3.75,2.954388424,4.545611576,4.75,3.954388424,5.545611576,52.57
1,3,1,1,3.5,2.581306884,4.418693116,5,5,5,7.2
1,3,2,1,2,2,2,5,5,5,6.34
1,3,3,1,1.25,0.454388424,2.045611576,5,5,5,6.99
1,3,4,1,2,2,2,5,5,5,6.84
1,3,5,1,2,0.700771736,3.299228264,5,5,5,6.91
1,3,6,1,2.25,0.726519819,3.773480181,5,5,5,6.91
1,3,7,1,1.5,0.581306884,2.418693116,5,5,5,7.13
1,3,1,2,4.25,2.726519819,5.773480181,5,5,5,21.84
1,3,2,2,2.5,1.581306884,3.418693116,5,5,5,19.77
1,3,3,2,2.25,1.454388424,3.045611576,5,5,5,21.19
1,3,4,2,2.75,1.954388424,3.545611576,5,5,5,20.97
1,3,5,2,2.5,1.581306884,3.418693116,5,5,5,20.75
1,3,6,2,3,1.162613769,4.837386231,5,5,5,21.62
1,3,7,2,4,1.749670637,6.250329363,5,5,5,21.4
1,3,1,3,4.75,3.954388424,5.545611576,5,5,5,69.7
1,3,2,3,3,1.700771736,4.299228264,5,5,5,69.36
1,3,3,3,4.5,3.581306884,5.418693116,5,5,5,67.61
1,3,4,3,3.5,2.581306884,4.418693116,5,5,5,69.01
1,3,5,3,4,1.749670637,6.250329363,5,5,5,69.01
1,3,6,3,4,2.700771736,5.299228264,5,5,5,66.22
1,3,7,3,3.75,1.747754775,5.752245225,5,5,5,69.01
1,4,1,1,3,3,3,4.75,3.954388424,5.545611576,11.04
1,4,2,1,1,1,1,4.75,3.954388424,5.545611576,10.12
1,4,3,1,1.25,0.454388424,2.045611576,4.75,3.954388424,5.545611576,10.82
1,4,4,1,2.25,0.726519819,3.773480181,4.75,3.954388424,5.545611576,10.49
1,4,5,1,2,0.700771736,3.299228264,4.75,3.954388424,5.545611576,10.6
1,4,6,1,2.5,0.908776847,4.091223153,4.75,3.954388424,5.545611576,10.82
1,4,7,1,1.75,0.954388424,2.545611576,4.75,3.954388424,5.545611576,10.71
1,4,1,2,3.75,2.954388424,4.545611576,4.75,3.954388424,5.545611576,33.65
1,4,2,2,2.75,1.954388424,3.545611576,4.75,3.954388424,5.545611576,32.08
1,4,3,2,2.75,0.747754775,4.752245225,4.75,3.954388424,5.545611576,32.98
1,4,4,2,2.5,0.908776847,4.091223153,4.75,3.954388424,5.545611576,32.64
1,4,5,2,3,1.700771736,4.299228264,4.75,3.954388424,5.545611576,32.3
