Filename,readtime,filesize,format,pointcount,Sequence,Frame,Dataset
H1_R0_1001.cwipcdump,27.52552032,12253168,cwipcdump,765821,H1,1001,Longdress
H1_R0_1002.cwipcdump,14.94657516,12411952,cwipcdump,775745,H1,1002,Longdress
H1_R0_1003.cwipcdump,14.94657516,12536976,cwipcdump,783559,H1,1003,Longdress
H1_R0_1004.cwipcdump,15.9441185,12714288,cwipcdump,794641,H1,1004,Longdress
H1_R0_1005.cwipcdump,16.941185,12896448,cwipcdump,806026,H1,1005,Longdress
H1_R0_1006.cwipcdump,16.93951607,12894016,cwipcdump,805874,H1,1006,Longdress
H1_R0_1007.cwipcdump,15.94388008,12903824,cwipcdump,806487,H1,1007,Longdress
H1_R0_1008.cwipcdump,15.9441185,12880496,cwipcdump,805029,H1,1008,Longdress
H1_R0_1009.cwipcdump,16.94166183,12796192,cwipcdump,799760,H1,1009,Longdress
H1_R0_1010.cwipcdump,15.9441185,12796272,cwipcdump,799765,H1,1010,Longdress
H1_R0_1011.cwipcdump,15.94459534,12817968,cwipcdump,801121,H1,1011,Longdress
H1_R0_1012.cwipcdump,16.94142342,12754880,cwipcdump,797178,H1,1012,Longdress
H1_R0_1013.cwipcdump,15.9441185,12666976,cwipcdump,791684,H1,1013,Longdress
H1_R0_1014.cwipcdump,15.94388008,12675104,cwipcdump,792192,H1,1014,Longdress
H1_R0_1015.cwipcdump,15.94817162,12728416,cwipcdump,795524,H1,1015,Longdress
H1_R0_1016.cwipcdump,17.93872833,12753040,cwipcdump,797063,H1,1016,Longdress
H1_R0_1017.cwipcdump,17.93896675,12694464,cwipcdump,793402,H1,1017,Longdress
H1_R0_1018.cwipcdump,16.94142342,12732976,cwipcdump,795809,H1,1018,Longdress
H1_R0_1019.cwipcdump,15.9441185,12724608,cwipcdump,795286,H1,1019,Longdress
H1_R0_1020.cwipcdump,15.94364166,12771616,cwipcdump,798224,H1,1020,Longdress
H1_R0_1021.cwipcdump,18.93603325,12785152,cwipcdump,799070,H1,1021,Longdress
H1_R0_1022.cwipcdump,15.94364166,12653936,cwipcdump,790869,H1,1022,Longdress
