GeneralDiscomfort,Fatigue,EyeStrain,TotalSeverity,SSQ Number
1,1,1,0,1
1,1,1,3.74,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,4,3,37.4,1
1,1,2,7.48,1
1,1,1,0,1
1,1,1,0,1
1,2,2,33.66,1
1,1,1,3.74,1
1,1,1,7.48,1
1,1,1,0,1
1,2,1,3.74,1
1,1,1,0,1
1,1,1,0,1
1,2,2,7.48,1
1,1,1,0,1
1,2,2,7.48,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,3,1,33.66,1
1,1,1,0,1
1,1,1,0,1
1,2,2,7.48,1
1,2,1,3.74,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,2
1,1,1,0,2
1,1,2,3.74,2
2,1,1,14.96,2
1,1,1,0,2
2,1,1,18.7,2
1,2,2,26.18,2
1,2,2,14.96,2
1,1,1,0,2
1,1,1,3.74,2
2,2,3,63.58,2
2,1,1,11.22,2
2,2,2,63.58,2
2,2,2,18.7,2
2,2,2,18.7,2
1,2,2,26.18,2
1,1,2,7.48,2
1,1,2,37.4,2
1,2,2,14.96,2
2,3,3,41.14,2
1,1,2,7.48,2
1,1,1,7.48,2
1,1,1,3.74,2
2,3,1,26.18,2
2,1,3,33.66,2
1,2,1,7.48,2
2,1,1,22.44,2
1,2,1,7.48,2
1,1,1,0,2
1,1,1,3.74,2
1,1,1,0,3
2,1,2,29.92,3
1,1,2,3.74,3
2,1,1,11.22,3
1,1,2,7.48,3
1,1,1,11.22,3
2,2,3,18.7,3
2,2,2,26.18,3
2,2,1,22.44,3
1,2,2,11.22,3
2,3,3,74.8,3
1,1,1,18.7,3
2,1,2,52.36,3
2,2,2,29.92,3
1,2,2,7.48,3
1,2,2,26.18,3
1,1,2,7.48,3
1,2,3,59.84,3
2,2,2,48.62,3
2,3,3,41.14,3
1,1,2,18.7,3
2,1,1,7.48,3
1,1,2,3.74,3
2,3,1,18.7,3
2,1,3,48.62,3
1,1,1,7.48,3
2,1,1,41.14,3
1,2,1,14.96,3
1,1,1,0,3
1,1,1,0,3
